	reactions	name	reaction	gene reaction rule	subsystem	spontaneous	proteomic evidence (#studies)	references	notes
0	FACOAE_10_0	Acyl CoA thioesterase (CoA 10:0)	FAcoa_hs_10_0_c + h2o_c --> FA_hs_10_0_c + coa_c + h_c	ACOT7	Acyl-CoA hydrolysis	0	ACOT7 (13)	pubmed:10578051;pubmed:5042454
1	FACOAE_11_0	Acyl CoA thioesterase (CoA 11:0)	FAcoa_hs_11_0_c + h2o_c --> FA_hs_11_0_c + coa_c + h_c	ACOT7	Acyl-CoA hydrolysis	0	ACOT7 (13)	pubmed:10578051;pubmed:5042454
2	FACOAE_12_0	Acyl CoA thioesterase (CoA 12:0)	FAcoa_hs_12_0_c + h2o_c --> FA_hs_12_0_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (13);MBLAC2 (10)	pubmed:10578051;pubmed:5042454
3	FACOAE_13_0	Acyl CoA thioesterase (CoA 13:0)	FAcoa_hs_13_0_c + h2o_c --> FA_hs_13_0_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (13);MBLAC2 (10)	pubmed:10578051;pubmed:5042454
4	FACOAE_14_0	Acyl CoA thioesterase (CoA 14:0)	FAcoa_hs_14_0_c + h2o_c --> FA_hs_14_0_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (13);MBLAC2 (10)	pubmed:10578051;pubmed:5042454
5	FACOAE_14_5Z	Acyl CoA thioesterase (CoA 14:1(5Z))	FAcoa_hs_14_5Z_c + h2o_c --> FA_hs_14_5Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (13);MBLAC2 (10)	pubmed:10578051;pubmed:5042454
6	FACOAE_14_7Z	Acyl CoA thioesterase (CoA 14:1(7Z))	FAcoa_hs_14_7Z_c + h2o_c --> FA_hs_14_7Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (13);MBLAC2 (10)	pubmed:10578051;pubmed:5042454
7	FACOAE_14_9Z	Acyl CoA thioesterase (CoA 14:1(9Z))	FAcoa_hs_14_9Z_c + h2o_c --> FA_hs_14_9Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (13);MBLAC2 (10)	pubmed:10578051;pubmed:5042454
8	FACOAE_15_0	Acyl CoA thioesterase (CoA 15:0)	FAcoa_hs_15_0_c + h2o_c --> FA_hs_15_0_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (13);MBLAC2 (10)	pubmed:10578051;pubmed:5042454
9	FACOAE_16_0	Acyl CoA thioesterase (CoA 16:0)	FAcoa_hs_16_0_c + h2o_c --> FA_hs_16_0_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (13);MBLAC2 (10)	pubmed:10578051;pubmed:5042454
10	FACOAE_16_7Z	Acyl CoA thioesterase (CoA 16:1(7Z))	FAcoa_hs_16_7Z_c + h2o_c --> FA_hs_16_7Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (13);MBLAC2 (10)	pubmed:10578051;pubmed:5042454
11	FACOAE_16_9Z	Acyl CoA thioesterase (CoA 16:1(9Z))	FAcoa_hs_16_9Z_c + h2o_c --> FA_hs_16_9Z_c + coa_c + h_c	ACOT7 or MBLAC2	Acyl-CoA hydrolysis	0	ACOT7 (13);MBLAC2 (10)	pubmed:10578051;pubmed:5042454
