enzymes	enzyme	complexes	reactions	direction	compartment	complexes_keff	complex_keff	enzyme_keff
enzyme_ANGIO3ARGH_fwd_pc	enzyme_ANGIO3ARGH_fwd	cplx_COMPLEX_Agt_Anpep_pc;cplx_COMPLEX_Agt_Dpp3_pc	ANGIO3ARGH	forward	pc	cplx_COMPLEX_Agt_Anpep_pc(453812.05326705927);cplx_COMPLEX_Agt_Dpp3_pc(268686.39404634474)	453812.05326705927;268686.39404634474	234000.0
enzyme_ANGIO3ARGH_rev_pc	enzyme_ANGIO3ARGH_rev	cplx_COMPLEX_Agt_Anpep_pc;cplx_COMPLEX_Agt_Dpp3_pc	ANGIO3ARGH	reverse	pc	cplx_COMPLEX_Agt_Anpep_pc(0);cplx_COMPLEX_Agt_Dpp3_pc(0)	0;0	234000.0
enzyme_ANGIO2ASPH_fwd_pc	enzyme_ANGIO2ASPH_fwd	cplx_COMPLEX_Agt_Dnpep_pc	ANGIO2ASPH	forward	pc	cplx_COMPLEX_Agt_Dnpep_pc(902571.9203804783)	902571.9203804783	234000.0
enzyme_ANGIO2ASPH_rev_pc	enzyme_ANGIO2ASPH_rev	cplx_COMPLEX_Agt_Dnpep_pc	ANGIO2ASPH	reverse	pc	cplx_COMPLEX_Agt_Dnpep_pc(0)	0	234000.0
enzyme_ANGIO2DDP_fwd_pc	enzyme_ANGIO2DDP_fwd	cplx_COMPLEX_Agt_Dpp3_pc	ANGIO2DDP	forward	pc	cplx_COMPLEX_Agt_Dpp3_pc(268686.39404634474)	268686.39404634474	234000.0
enzyme_ANGIO2DDP_rev_pc	enzyme_ANGIO2DDP_rev	cplx_COMPLEX_Agt_Dpp3_pc	ANGIO2DDP	reverse	pc	cplx_COMPLEX_Agt_Dpp3_pc(0)	0	234000.0
enzyme_ANGIO4DDP_fwd_pc	enzyme_ANGIO4DDP_fwd	cplx_COMPLEX_Agt_Dpp3_pc	ANGIO4DDP	forward	pc	cplx_COMPLEX_Agt_Dpp3_pc(268686.39404634474)	268686.39404634474	234000.0
enzyme_ANGIO4DDP_rev_pc	enzyme_ANGIO4DDP_rev	cplx_COMPLEX_Agt_Dpp3_pc	ANGIO4DDP	reverse	pc	cplx_COMPLEX_Agt_Dpp3_pc(0)	0	234000.0
enzyme_ANGIO58PEP_fwd_pc	enzyme_ANGIO58PEP_fwd	cplx_COMPLEX_Agt_Prep_pc	ANGIO58PEP	forward	pc	cplx_COMPLEX_Agt_Prep_pc(265470.04018219764)	265470.04018219764	234000.0
enzyme_ANGIO58PEP_rev_pc	enzyme_ANGIO58PEP_rev	cplx_COMPLEX_Agt_Prep_pc	ANGIO58PEP	reverse	pc	cplx_COMPLEX_Agt_Prep_pc(0)	0	234000.0
enzyme_ANGIO1THOP_fwd_pc	enzyme_ANGIO1THOP_fwd	cplx_COMPLEX_Agt_Thop1_pc	ANGIO1THOP	forward	pc	cplx_COMPLEX_Agt_Thop1_pc(261380.6726367216)	261380.6726367216	234000.0
enzyme_ANGIO1THOP_rev_pc	enzyme_ANGIO1THOP_rev	cplx_COMPLEX_Agt_Thop1_pc	ANGIO1THOP	reverse	pc	cplx_COMPLEX_Agt_Thop1_pc(0)	0	234000.0
enzyme_VATPASEte_fwd_pc	enzyme_VATPASEte_fwd	cplx_COMPLEX_Atp6v0v1_pc	VATPASEte	forward	pc	cplx_COMPLEX_Atp6v0v1_pc(916199.5171463271)	916199.5171463271	234000.0
enzyme_VATPASEte_rev_pc	enzyme_VATPASEte_rev	cplx_COMPLEX_Atp6v0v1_pc	VATPASEte	reverse	pc	cplx_COMPLEX_Atp6v0v1_pc(0)	0	234000.0
enzyme_PROTKTnAgGALT_fwd_pc	enzyme_PROTKTnAgGALT_fwd	cplx_COMPLEX_C1galt1_C1galt1c1_pc	PROTKTnAgGALT	forward	pc	cplx_COMPLEX_C1galt1_C1galt1c1_pc(247197.62069953093)	247197.62069953093	234000.0
enzyme_PROTKTnAgGALT_rev_pc	enzyme_PROTKTnAgGALT_rev	cplx_COMPLEX_C1galt1_C1galt1c1_pc	PROTKTnAgGALT	reverse	pc	cplx_COMPLEX_C1galt1_C1galt1c1_pc(0)	0	234000.0
enzyme_PROTSTnAgGALT_fwd_pc	enzyme_PROTSTnAgGALT_fwd	cplx_COMPLEX_C1galt1_C1galt1c1_pc	PROTSTnAgGALT	forward	pc	cplx_COMPLEX_C1galt1_C1galt1c1_pc(247197.62069953093)	247197.62069953093	234000.0
enzyme_PROTSTnAgGALT_rev_pc	enzyme_PROTSTnAgGALT_rev	cplx_COMPLEX_C1galt1_C1galt1c1_pc	PROTSTnAgGALT	reverse	pc	cplx_COMPLEX_C1galt1_C1galt1c1_pc(0)	0	234000.0
enzyme_AVITE1RCYTB5R_fwd_pc	enzyme_AVITE1RCYTB5R_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc	AVITE1RCYTB5R	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154698.92661695406);cplx_COMPLEX_Cyb5r3_B5b_pc(158548.59947089353)	154698.92661695406;158548.59947089353	234000.0
enzyme_AVITE1RCYTB5R_rev_pc	enzyme_AVITE1RCYTB5R_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc	AVITE1RCYTB5R	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0)	0;0	234000.0
enzyme_CYTB5ASCBR_fwd_pc	enzyme_CYTB5ASCBR_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc	CYTB5ASCBR	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154698.92661695406);cplx_COMPLEX_Cyb5r3_B5b_pc(158548.59947089353)	154698.92661695406;158548.59947089353	234000.0
enzyme_CYTB5ASCBR_rev_pc	enzyme_CYTB5ASCBR_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc	CYTB5ASCBR	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0)	0;0	234000.0
enzyme_FCYTOB5OXR_fwd_pc	enzyme_FCYTOB5OXR_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc	FCYTOB5OXR	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154698.92661695406);cplx_COMPLEX_Cyb5r3_B5b_pc(158548.59947089353)	154698.92661695406;158548.59947089353	234000.0
enzyme_FCYTOB5OXR_rev_pc	enzyme_FCYTOB5OXR_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc	FCYTOB5OXR	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0)	0;0	234000.0
enzyme_ADRNCHR1ERx_fwd_pc	enzyme_ADRNCHR1ERx_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ADRNCHR1ERx	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154698.92661695406);cplx_COMPLEX_Cyb5r3_B5b_pc(158548.59947089353);cplx_MONOMER_Cyb5r3_pc(95875.90936954442)	154698.92661695406;158548.59947089353;95875.90936954442	234000.0
enzyme_ADRNCHR1ERx_rev_pc	enzyme_ADRNCHR1ERx_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ADRNCHR1ERx	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_ADRNLQ1ERx_L_fwd_pc	enzyme_ADRNLQ1ERx_L_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ADRNLQ1ERx_L	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154698.92661695406);cplx_COMPLEX_Cyb5r3_B5b_pc(158548.59947089353);cplx_MONOMER_Cyb5r3_pc(95875.90936954442)	154698.92661695406;158548.59947089353;95875.90936954442	234000.0
enzyme_ADRNLQ1ERx_L_rev_pc	enzyme_ADRNLQ1ERx_L_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ADRNLQ1ERx_L	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_DOPAQ1ERx_L_fwd_pc	enzyme_DOPAQ1ERx_L_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DOPAQ1ERx_L	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154698.92661695406);cplx_COMPLEX_Cyb5r3_B5b_pc(158548.59947089353);cplx_MONOMER_Cyb5r3_pc(95875.90936954442)	154698.92661695406;158548.59947089353;95875.90936954442	234000.0
enzyme_DOPAQ1ERx_L_rev_pc	enzyme_DOPAQ1ERx_L_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DOPAQ1ERx_L	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_DPAMCHR1ERx_fwd_pc	enzyme_DPAMCHR1ERx_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DPAMCHR1ERx	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154698.92661695406);cplx_COMPLEX_Cyb5r3_B5b_pc(158548.59947089353);cplx_MONOMER_Cyb5r3_pc(95875.90936954442)	154698.92661695406;158548.59947089353;95875.90936954442	234000.0
enzyme_DPAMCHR1ERx_rev_pc	enzyme_DPAMCHR1ERx_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DPAMCHR1ERx	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_DPAMQ1ERx_L_fwd_pc	enzyme_DPAMQ1ERx_L_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DPAMQ1ERx_L	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154698.92661695406);cplx_COMPLEX_Cyb5r3_B5b_pc(158548.59947089353);cplx_MONOMER_Cyb5r3_pc(95875.90936954442)	154698.92661695406;158548.59947089353;95875.90936954442	234000.0
enzyme_DPAMQ1ERx_L_rev_pc	enzyme_DPAMQ1ERx_L_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DPAMQ1ERx_L	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_DPCHR1ERx_L_fwd_pc	enzyme_DPCHR1ERx_L_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DPCHR1ERx_L	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(154698.92661695406);cplx_COMPLEX_Cyb5r3_B5b_pc(158548.59947089353);cplx_MONOMER_Cyb5r3_pc(95875.90936954442)	154698.92661695406;158548.59947089353;95875.90936954442	234000.0
