enzymes	enzyme	complexes	reactions	direction	compartment	complexes_keff	complex_keff	enzyme_keff
enzyme_ANGIO3ARGH_fwd_pc	enzyme_ANGIO3ARGH_fwd	cplx_COMPLEX_Agt_Anpep_pc;cplx_COMPLEX_Agt_Dpp3_pc	ANGIO3ARGH	forward	pc	cplx_COMPLEX_Agt_Anpep_pc(449639.7228786151);cplx_COMPLEX_Agt_Dpp3_pc(266216.1017771763)	449639.7228786151;266216.1017771763	234000.0
enzyme_ANGIO3ARGH_rev_pc	enzyme_ANGIO3ARGH_rev	cplx_COMPLEX_Agt_Anpep_pc;cplx_COMPLEX_Agt_Dpp3_pc	ANGIO3ARGH	reverse	pc	cplx_COMPLEX_Agt_Anpep_pc(0);cplx_COMPLEX_Agt_Dpp3_pc(0)	0;0	234000.0
enzyme_ANGIO2ASPH_fwd_pc	enzyme_ANGIO2ASPH_fwd	cplx_COMPLEX_Agt_Dnpep_pc	ANGIO2ASPH	forward	pc	cplx_COMPLEX_Agt_Dnpep_pc(894273.7092068236)	894273.7092068236	234000.0
enzyme_ANGIO2ASPH_rev_pc	enzyme_ANGIO2ASPH_rev	cplx_COMPLEX_Agt_Dnpep_pc	ANGIO2ASPH	reverse	pc	cplx_COMPLEX_Agt_Dnpep_pc(0)	0	234000.0
enzyme_ANGIO2DDP_fwd_pc	enzyme_ANGIO2DDP_fwd	cplx_COMPLEX_Agt_Dpp3_pc	ANGIO2DDP	forward	pc	cplx_COMPLEX_Agt_Dpp3_pc(266216.1017771763)	266216.1017771763	234000.0
enzyme_ANGIO2DDP_rev_pc	enzyme_ANGIO2DDP_rev	cplx_COMPLEX_Agt_Dpp3_pc	ANGIO2DDP	reverse	pc	cplx_COMPLEX_Agt_Dpp3_pc(0)	0	234000.0
enzyme_ANGIO4DDP_fwd_pc	enzyme_ANGIO4DDP_fwd	cplx_COMPLEX_Agt_Dpp3_pc	ANGIO4DDP	forward	pc	cplx_COMPLEX_Agt_Dpp3_pc(266216.1017771763)	266216.1017771763	234000.0
enzyme_ANGIO4DDP_rev_pc	enzyme_ANGIO4DDP_rev	cplx_COMPLEX_Agt_Dpp3_pc	ANGIO4DDP	reverse	pc	cplx_COMPLEX_Agt_Dpp3_pc(0)	0	234000.0
enzyme_ANGIO58PEP_fwd_pc	enzyme_ANGIO58PEP_fwd	cplx_COMPLEX_Agt_Prep_pc	ANGIO58PEP	forward	pc	cplx_COMPLEX_Agt_Prep_pc(263029.31894551014)	263029.31894551014	234000.0
enzyme_ANGIO58PEP_rev_pc	enzyme_ANGIO58PEP_rev	cplx_COMPLEX_Agt_Prep_pc	ANGIO58PEP	reverse	pc	cplx_COMPLEX_Agt_Prep_pc(0)	0	234000.0
enzyme_ANGIO1THOP_fwd_pc	enzyme_ANGIO1THOP_fwd	cplx_COMPLEX_Agt_Thop1_pc	ANGIO1THOP	forward	pc	cplx_COMPLEX_Agt_Thop1_pc(258977.54888638703)	258977.54888638703	234000.0
enzyme_ANGIO1THOP_rev_pc	enzyme_ANGIO1THOP_rev	cplx_COMPLEX_Agt_Thop1_pc	ANGIO1THOP	reverse	pc	cplx_COMPLEX_Agt_Thop1_pc(0)	0	234000.0
enzyme_VATPASEte_fwd_pc	enzyme_VATPASEte_fwd	cplx_COMPLEX_Atp6v0v1_pc	VATPASEte	forward	pc	cplx_COMPLEX_Atp6v0v1_pc(1228242.7147624823)	1228242.7147624823	234000.0
enzyme_VATPASEte_rev_pc	enzyme_VATPASEte_rev	cplx_COMPLEX_Atp6v0v1_pc	VATPASEte	reverse	pc	cplx_COMPLEX_Atp6v0v1_pc(0)	0	234000.0
enzyme_PROTKTnAgGALT_fwd_pc	enzyme_PROTKTnAgGALT_fwd	cplx_COMPLEX_C1galt1_C1galt1c1_pc	PROTKTnAgGALT	forward	pc	cplx_COMPLEX_C1galt1_C1galt1c1_pc(244924.89537773613)	244924.89537773613	234000.0
enzyme_PROTKTnAgGALT_rev_pc	enzyme_PROTKTnAgGALT_rev	cplx_COMPLEX_C1galt1_C1galt1c1_pc	PROTKTnAgGALT	reverse	pc	cplx_COMPLEX_C1galt1_C1galt1c1_pc(0)	0	234000.0
enzyme_PROTSTnAgGALT_fwd_pc	enzyme_PROTSTnAgGALT_fwd	cplx_COMPLEX_C1galt1_C1galt1c1_pc	PROTSTnAgGALT	forward	pc	cplx_COMPLEX_C1galt1_C1galt1c1_pc(244924.89537773613)	244924.89537773613	234000.0
enzyme_PROTSTnAgGALT_rev_pc	enzyme_PROTSTnAgGALT_rev	cplx_COMPLEX_C1galt1_C1galt1c1_pc	PROTSTnAgGALT	reverse	pc	cplx_COMPLEX_C1galt1_C1galt1c1_pc(0)	0	234000.0
enzyme_AVITE1RCYTB5R_fwd_pc	enzyme_AVITE1RCYTB5R_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc	AVITE1RCYTB5R	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(153276.6306952462);cplx_COMPLEX_Cyb5r3_B5b_pc(157090.90980651532)	153276.6306952462;157090.90980651532	234000.0
enzyme_AVITE1RCYTB5R_rev_pc	enzyme_AVITE1RCYTB5R_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc	AVITE1RCYTB5R	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0)	0;0	234000.0
enzyme_CYTB5ASCBR_fwd_pc	enzyme_CYTB5ASCBR_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc	CYTB5ASCBR	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(153276.6306952462);cplx_COMPLEX_Cyb5r3_B5b_pc(157090.90980651532)	153276.6306952462;157090.90980651532	234000.0
enzyme_CYTB5ASCBR_rev_pc	enzyme_CYTB5ASCBR_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc	CYTB5ASCBR	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0)	0;0	234000.0
enzyme_FCYTOB5OXR_fwd_pc	enzyme_FCYTOB5OXR_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc	FCYTOB5OXR	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(153276.6306952462);cplx_COMPLEX_Cyb5r3_B5b_pc(157090.90980651532)	153276.6306952462;157090.90980651532	234000.0
enzyme_FCYTOB5OXR_rev_pc	enzyme_FCYTOB5OXR_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc	FCYTOB5OXR	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0)	0;0	234000.0
enzyme_ADRNCHR1ERx_fwd_pc	enzyme_ADRNCHR1ERx_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ADRNCHR1ERx	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(153276.6306952462);cplx_COMPLEX_Cyb5r3_B5b_pc(157090.90980651532);cplx_MONOMER_Cyb5r3_pc(94994.42998330417)	153276.6306952462;157090.90980651532;94994.42998330417	234000.0
enzyme_ADRNCHR1ERx_rev_pc	enzyme_ADRNCHR1ERx_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ADRNCHR1ERx	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_ADRNLQ1ERx_L_fwd_pc	enzyme_ADRNLQ1ERx_L_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ADRNLQ1ERx_L	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(153276.6306952462);cplx_COMPLEX_Cyb5r3_B5b_pc(157090.90980651532);cplx_MONOMER_Cyb5r3_pc(94994.42998330417)	153276.6306952462;157090.90980651532;94994.42998330417	234000.0
enzyme_ADRNLQ1ERx_L_rev_pc	enzyme_ADRNLQ1ERx_L_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ADRNLQ1ERx_L	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_DOPAQ1ERx_L_fwd_pc	enzyme_DOPAQ1ERx_L_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DOPAQ1ERx_L	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(153276.6306952462);cplx_COMPLEX_Cyb5r3_B5b_pc(157090.90980651532);cplx_MONOMER_Cyb5r3_pc(94994.42998330417)	153276.6306952462;157090.90980651532;94994.42998330417	234000.0
enzyme_DOPAQ1ERx_L_rev_pc	enzyme_DOPAQ1ERx_L_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DOPAQ1ERx_L	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_DPAMCHR1ERx_fwd_pc	enzyme_DPAMCHR1ERx_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DPAMCHR1ERx	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(153276.6306952462);cplx_COMPLEX_Cyb5r3_B5b_pc(157090.90980651532);cplx_MONOMER_Cyb5r3_pc(94994.42998330417)	153276.6306952462;157090.90980651532;94994.42998330417	234000.0
enzyme_DPAMCHR1ERx_rev_pc	enzyme_DPAMCHR1ERx_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DPAMCHR1ERx	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_DPAMQ1ERx_L_fwd_pc	enzyme_DPAMQ1ERx_L_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DPAMQ1ERx_L	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(153276.6306952462);cplx_COMPLEX_Cyb5r3_B5b_pc(157090.90980651532);cplx_MONOMER_Cyb5r3_pc(94994.42998330417)	153276.6306952462;157090.90980651532;94994.42998330417	234000.0
enzyme_DPAMQ1ERx_L_rev_pc	enzyme_DPAMQ1ERx_L_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DPAMQ1ERx_L	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_DPCHR1ERx_L_fwd_pc	enzyme_DPCHR1ERx_L_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DPCHR1ERx_L	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(153276.6306952462);cplx_COMPLEX_Cyb5r3_B5b_pc(157090.90980651532);cplx_MONOMER_Cyb5r3_pc(94994.42998330417)	153276.6306952462;157090.90980651532;94994.42998330417	234000.0
enzyme_DPCHR1ERx_L_rev_pc	enzyme_DPCHR1ERx_L_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	DPCHR1ERx_L	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_ESTRADIOL23Q1ERx_fwd_pc	enzyme_ESTRADIOL23Q1ERx_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ESTRADIOL23Q1ERx	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(153276.6306952462);cplx_COMPLEX_Cyb5r3_B5b_pc(157090.90980651532);cplx_MONOMER_Cyb5r3_pc(94994.42998330417)	153276.6306952462;157090.90980651532;94994.42998330417	234000.0
enzyme_ESTRADIOL23Q1ERx_rev_pc	enzyme_ESTRADIOL23Q1ERx_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ESTRADIOL23Q1ERx	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_ESTRADIOL34Q1ERx_fwd_pc	enzyme_ESTRADIOL34Q1ERx_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ESTRADIOL34Q1ERx	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(153276.6306952462);cplx_COMPLEX_Cyb5r3_B5b_pc(157090.90980651532);cplx_MONOMER_Cyb5r3_pc(94994.42998330417)	153276.6306952462;157090.90980651532;94994.42998330417	234000.0
enzyme_ESTRADIOL34Q1ERx_rev_pc	enzyme_ESTRADIOL34Q1ERx_rev	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ESTRADIOL34Q1ERx	reverse	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(0);cplx_COMPLEX_Cyb5r3_B5b_pc(0);cplx_MONOMER_Cyb5r3_pc(0)	0;0;0	234000.0
enzyme_ESTRONE23Q1ERx_fwd_pc	enzyme_ESTRONE23Q1ERx_fwd	cplx_COMPLEX_Cyb5r3_B5a_pc;cplx_COMPLEX_Cyb5r3_B5b_pc;cplx_MONOMER_Cyb5r3_pc	ESTRONE23Q1ERx	forward	pc	cplx_COMPLEX_Cyb5r3_B5a_pc(153276.6306952462);cplx_COMPLEX_Cyb5r3_B5b_pc(157090.90980651532);cplx_MONOMER_Cyb5r3_pc(94994.42998330417)	153276.6306952462;157090.90980651532;94994.42998330417	234000.0
