	genes	drugbank	pubchem.compound
0	AARS1	DB00160
1	ABCA1	DB00163;DB00171;DB00675;DB01016;DB01599;DB11635	14985;2733525;2733526;3488;4912;5957
2	ABCB1	DB00027;DB00052;DB00080;DB00091;DB00104;DB00171;DB00175;DB00176;DB00188;DB00196;DB00199;DB00203;DB00206;DB00207;DB00213;DB00215;DB00216;DB00220;DB00224;DB00227;DB00234;DB00243;DB00246;DB00248;DB00252;DB00253;DB00255;DB00257;DB00273;DB00276;DB00279;DB00281;DB00285;DB00286;DB00295;DB00300;DB00315;DB00316;DB00317;DB00320;DB00321;DB00328;DB00333;DB00334;DB00338;DB00341;DB00342;DB00343;DB00344;DB00346;DB00349;DB00351;DB00358;DB00360;DB00363;DB00365;DB00373;DB00381;DB00382;DB00390;DB00391;DB00394;DB00396;DB00398;DB00401;DB00421;DB00428;DB00439;DB00440;DB00441;DB00443;DB00448;DB00451;DB00454;DB00455;DB00457;DB00458;DB00468;DB00470;DB00472;DB00476;DB00477;DB00480;DB00481;DB00482;DB00490;DB00495;DB00501;DB00502;DB00503;DB00508;DB00518;DB00520;DB00523;DB00530;DB00537;DB00539;DB00540;DB00541;DB00555;DB00557;DB00563;DB00564;DB00570;DB00571;DB00584;DB00585;DB00586;DB00588;DB00590;DB00602;DB00603;DB00608;DB00612;DB00613;DB00615;DB00619;DB00622;DB00623;DB00635;DB00637;DB00641;DB00648;DB00652;DB00655;DB00656;DB00661;DB00669;DB00674;DB00675;DB00678;DB00683;DB00688;DB00690;DB00694;DB00696;DB00698;DB00701;DB00709;DB00715;DB00717;DB00726;DB00734;DB00736;DB00741;DB00751;DB00758;DB00762;DB00768;DB00773;DB00776;DB00778;DB00783;DB00788;DB00796;DB00802;DB00813;DB00818;DB00829;DB00831;DB00834;DB00836;DB00845;DB00853;DB00860;DB00862;DB00863;DB00864;DB00872;DB00875;DB00877;DB00882;DB00908;DB00909;DB00916;DB00921;DB00932;DB00945;DB00950;DB00957;DB00959;DB00966;DB00967;DB00970;DB00972;DB00973;DB00975;DB00977;DB00993;DB00997;DB01006;DB01016;DB01023;DB01024;DB01026;DB01030;DB01037;DB01045;DB01048;DB01050;DB01054;DB01069;DB01072;DB01076;DB01079;DB01086;DB01087;DB01100;DB01103;DB01104;DB01110;DB01115;DB01117;DB01118;DB01128;DB01136;DB01137;DB01142;DB01149;DB01151;DB01162;DB01165;DB01167;DB01169;DB01174;DB01175;DB01182;DB01183;DB01184;DB01190;DB01193;DB01195;DB01196;DB01197;DB01200;DB01202;DB01203;DB01204;DB01208;DB01211;DB01212;DB01217;DB01222;DB01224;DB01229;DB01232;DB01233;DB01234;DB01238;DB01239;DB01242;DB01244;DB01248;DB01253;DB01254;DB01259;DB01261;DB01263;DB01264;DB01267;DB01268;DB01323;DB01339;DB01340;DB01380;DB01388;DB01394;DB01396;DB01418;DB01420;DB01583;DB01587;DB01590;DB01601;DB01611;DB01645;DB02010;DB02261;DB02587;DB02659;DB02901;DB03203;DB03467;DB03825;DB04216;DB04348;DB04540;DB04573;DB04630;DB04690;DB04832;DB04840;DB04845;DB04851;DB04855;DB04868;DB04876;DB04877;DB04881;DB04905;DB04908;DB04951;DB04960;DB05015;DB05039;DB05239;DB05294;DB05449;DB05521;DB05667;DB05676;DB05773;DB05889;DB05928;DB06016;DB06176;DB06191;DB06207;DB06212;DB06228;DB06234;DB06237;DB06240;DB06287;DB06288;DB06290;DB06292;DB06374;DB06403;DB06414;DB06419;DB06420;DB06448;DB06480;DB06589;DB06603;DB06605;DB06616;DB06626;DB06636;DB06670;DB06695;DB06702;DB06772;DB07565;DB08816;DB08820;DB08822;DB08827;DB08828;DB08860;DB08864;DB08865;DB08868;DB08873;DB08874;DB08881;DB08882;DB08889;DB08893;DB08896;DB08899;DB08901;DB08906;DB08907;DB08910;DB08912;DB08916;DB08918;DB08930;DB08931;DB08934;DB08995;DB09026;DB09027;DB09030;DB09031;DB09034;DB09038;DB09039;DB09048;DB09054;DB09061;DB09063;DB09065;DB09073;DB09074;DB09075;DB09076;DB09078;DB09079;DB09082;DB09099;DB09102;DB09118;DB09160;DB09161;DB09183;DB09198;DB09213;DB09237;DB09239;DB09241;DB09270;DB09274;DB09280;DB09287;DB09291;DB09296;DB09297;DB09299;DB09330;DB11077;DB11251;DB11362;DB11363;DB11430;DB11544;DB11574;DB11575;DB11581;DB11586;DB11613;DB11632;DB11633;DB11635;DB11641;DB11652;DB11672;DB11689;DB11693;DB11697;DB11712;DB11718;DB11732;DB11739;DB11751;DB11753;DB11755;DB11757;DB11760;DB11763;DB11770;DB11791;DB11793;DB11796;DB11800;DB11817;DB11827;DB11828;DB11853;DB11855;DB11869;DB11886;DB11901;DB11951;DB11952;DB11963;DB11967;DB11978;DB11979;DB11986;DB11995;DB12001;DB12005;DB12015;DB12026;DB12035;DB12070;DB12095;DB12141;DB12147;DB12236;DB12240;DB12332;DB12364;DB12395;DB12411;DB12455;DB12457;DB12466;DB12471;DB12483;DB12489;DB12500;DB12541;DB12548;DB12582;DB12597;DB12612;DB12674;DB12713;DB12799;DB12825;DB12836;DB12874;DB12887;DB12923;DB12930;DB12941;DB12978;DB13007;DB13125;DB13179;DB13208;DB13867;DB13874;DB13878;DB13879;DB13919;DB13943;DB13944;DB13946;DB13951;DB13952;DB13953;DB13954;DB13955;DB13956;DB13997;DB14003;DB14009;DB14057;DB14061;DB14062;DB14063;DB14064;DB14065;DB14066;DB14067;DB14068;DB14069;DB14070;DB14071;DB14072;DB14086;DB14126;DB14146;DB14538;DB14539;DB14540;DB14541;DB14542;DB14543;DB14544;DB14545;DB14568;DB14631;DB14635;DB14641;DB14644;DB14649;DB14669;DB14681;DB14723;DB14737;DB14761;DB14840;DB14845;DB14895;DB14962;DB14973;DB14989;DB15011;DB15035;DB15091;DB15097;DB15102;DB15133;DB15149;DB15233;DB15305;DB15328;DB15442;DB15444;DB15456;DB15463;DB15566;DB15568;DB15569;DB15673;DB15685;DB15688;DB15719;DB15822;DB15982;DB16021;DB16098;DB16217;DB16220;DB16222;DB16236;DB16261;DB16267;DB16390;DB16407;DB16650;DB16691;DB16703;DB16732;DB16826;DB17472	10034073;10077129;10077130;10096344;10113978;10127622;10182969;10184653;10184665;10257882;10275777;10280735;10288191;10311306;10324367;10346039;10348973;105111;10531;10631;10635;107969;107970;10959536;110634;11065;11154555;11167602;11238823;11250647;11304743;114743;11478676;11511120;11519069;11519070;115212;115237;11525740;115366;11556711;11561674;11610526;11625818;11626560;11677589;11683;11711114;11751549;11753673;118023034;118513932;119373;119442;11949646;11954236;11979606;1203;121304016;121490161;122125;123596;123631;124081896;124087;12560;126941;127150;12947;130564;134587348;134780;135565884;13791;13810;14184;146570;146571;148124;148192;148195;148201;149096;150311;156391;15787;158550;159324;15951505;15951529;15981397;160352;16051951;16076883;16078;16119813;16214875;16220172;16222096;163296;16362;16533;16678941;16722836;16757572;16923;16961;176870;176871;1775;19090;193962;1983;20055008;20055431;20469;2082;208898;208908;213039;2157;21585658;2159;2160;2162;216237;216239;216322;216326;2165;21700;2179;21800;2187;219025;221493;222786;2244;2247;2265;2267;2337;23642301;23652731;23663992;23665584;23667301;23667642;23674541;23680530;23725423;23725625;2375;23890;2405;241903;24360;2477;24776445;24785956;24812758;24826799;24831714;24872560;24873435;24889392;24958200;24965990;24989044;25062766;25141092;25145656;25151504;25154713;25154714;25166913;25171648;25181577;25185057;2520;2540;2541;2543;2554;2585;259331;261004;26133;2662;26757;2678;2719;2723754;2724385;2726;2733525;2733526;2756;2764;2771;2789;2794;2800;2801;2812;2818;2826718;29327;2966;2995;3005573;3010818;3016;30323;3033;3033050;3033637;3033819;3033887;3034034;3037122;3052762;3062316;3081361;3108;31101;3151;3157;31703;3241;3333;3345;3348;3356;3365;3372;3386;34180;34312;34457;3488;35370;3559;3599;36314;36431;36462;3652;3658;36708;3672;3676;3696;3715;3823;387447;3878;3883;3902;39147;39186;392622;3955;3957;3961;39764;39765;39912;4046;4058;40632;406563;4095;41022;41114;4168;4173;4189;4192;4211;4212;42611257;43032;4369359;43815;439246;44093;441074;441207;441243;441277;441278;441371;441404;441409;44181886;44205240;44259;44383;443884;443953;443967;444036;44462760;44472635;44482554;44516822;445643;44603531;44610678;446598;447043;4474;44814423;44819241;4485;448537;448601;449171;4499;4507;45138674;45267103;45375808;4543;457193;4585;4594;46188928;46199646;46208890;46215462;46216142;46216796;46220502;46224413;464205;4679;468595;46871657;468908;46927777;471161;47576;4763;47936;4893;492405;4927;4932;4943;4946;49803313;49806720;49831257;49841217;49846579;5002;50088;5018304;5035;5039;5073;50905713;50922675;51039094;51082;51263;5212;5280343;5280961;5281004;5281056;5281064;5281071;5281078;5281613;5281881;5281884;5281915;5282318;5282402;5282451;5282452;5284373;5284583;5284596;5284616;5284627;5288826;5291;52919;52938427;5311037;5311101;5311454;5312125;53232;53235510;53239799;5324346;5328940;5329102;5330286;5352062;5355;5358;5381226;5384200;5388961;5388962;5388983;5388992;5394;5405;54360;54454;5462355;5464092;5464110;54674461;54676537;54682461;54687;54713659;54726191;54746;54767916;5479530;54900;54911;5493444;55182;55245;55283;5533;5566;5568;5578;5584;56330;5656;56640146;56649450;56944144;56959;57327016;5734;57379345;5743;5744;5745;5750;5754;5755;5756;5757;5770;5819;5833;5834;58557659;5865;5877;5920;5957;5978;5991;5994;5995;5997;6014;60496;60606;60663;60699;60700;60750;60795;60822;60823;60825;60835;60838;60854;60857;6099;6135;6167;6230;6239;62770;6279;62853;62857;62878;62920;62923;62935;62969;62978;62999;63002;63021;6314;6323490;636369;638024;6398764;64142;6435922;6438151;644019;644073;6442177;644241;6445540;6450551;6451149;6451164;6456015;64761;64927;64936;65016;65157;65327;6540478;65478;65648;65856;65999;6603149;6603542;6604200;66558664;66562429;667466;67171867;67356;6741;67462786;67505836;67683363;68498031;68539;68546;68553;68592;68617;68748835;68770;6915744;6917864;6917964;6918092;6918248;6918289;6918295;6918427;6918485;6918486;6918493;6918537;6918554;6918558;6918638;6918837;6918995;71171;71371;71420;71492247;71496458;71576678;71587624;71657455;71661251;71764;72165228;72370;72950888;72972216;74763937;74989;74990;76966913;77993;77995;78357807;8228;84029;86291590;86472;89683805;89921642;90479276;90480031;91558;91810695;92727;9403;9416;9560989;9568613;9568614;9574768;9651;969516;9782;9787;9798860;9809714;9809715;9812710;9822750;9823820;9825285;9826451;9827459;9827599;9849808;9853053;9854073;9854489;9865528;9869929;9870009;9871419;9875401;9887712;9911830;9913767;9915743;9918581;9931054;9931953;9931954;9941095;9963148
3	ABCB4	DB06207;DB06414	193962;5312125
4	ABCC1	DB00115;DB00143;DB00171;DB00224;DB00286;DB00328;DB00345;DB00365;DB00396;DB00399;DB00445;DB00470;DB00499;DB00503;DB00541;DB00563;DB00570;DB00586;DB00602;DB00619;DB00661;DB00693;DB00694;DB00701;DB00709;DB00762;DB00773;DB00834;DB00845;DB00970;DB00997;DB01016;DB01030;DB01032;DB01045;DB01048;DB01050;DB01072;DB01076;DB01137;DB01138;DB01165;DB01174;DB01177;DB01204;DB01229;DB01232;DB01248;DB01645;DB01708;DB02375;DB02659;DB03467;DB03825;DB04216;DB04348;DB04851;DB05294;DB05812;DB06176;DB06335;DB08855;DB08868;DB08881;DB09061;DB09161;DB09213;DB11755;DB13783;DB14009;DB14011;DB14737;DB14962;DB15719	105111;10608;107969;107970;11243969;123596;124886;126941;132971;148124;148192;149096;15787;158550;16078;16212801;16850;2148;221493;23667301;23667642;241903;2520;2543;2794;30323;3033;3081361;31703;3397;34180;3488;36314;36462;3672;3715;392622;39912;41867;4212;42611257;42890;439246;441243;44148067;443971;457193;468908;4763;4911;49800073;5018304;51082;5280343;5280961;5281672;5291;5342;5352062;5381226;5388983;5388992;5462355;55245;5881;5957;5978;5994;60822;60823;60825;60838;62770;62969;636362;644019;65016;65348;68740;6918092;74990;9812710;9821849;9963148
5	ABCC4	DB00143;DB00158;DB00171;DB00198;DB00203;DB00286;DB00300;DB00328;DB00352;DB00398;DB00481;DB00482;DB00495;DB00533;DB00544;DB00563;DB00586;DB00619;DB00661;DB00709;DB00712;DB00718;DB00731;DB00770;DB00814;DB00880;DB00917;DB00975;DB00999;DB01009;DB01032;DB01033;DB01048;DB01050;DB01069;DB01076;DB01098;DB01138;DB01268;DB01327;DB01586;DB01708;DB02527;DB02659;DB04348;DB08884;DB09213;DB09299;DB12332;DB12411;DB13146;DB14126;DB14761	11954236;121304016;121490161;123596;124886;126941;15787;160352;216239;221493;23667301;23667642;23675322;23684814;2520;2662;2723601;3033;3108;31401;33255;3385;3394;35370;3639;3672;3715;3825;39912;406563;446157;46215462;464205;468908;4911;4927;5018304;5035;5090;5212;5280360;5280723;5282455;5291;53240376;5329102;5342;54677470;54900;5881;5957;60026;6014;6037;60822;60823;60825;62853;62969;6398764;6456015;65028;667490;71492247;78000;9574768;9931953;9931954
6	ABCC5	DB00143;DB00203;DB00495;DB00515;DB00544;DB00642;DB00718;DB00770;DB00917;DB00975;DB01032;DB01033;DB01045;DB01076;DB01138;DB02527;DB08818;DB11672;DB14635	124886;160352;24759;3108;3385;35370;446556;4911;5212;5280360;5280723;5342;5381226;5702198;60822;60823;62853;667490;6918197;969516
7	ABCG2	DB00091;DB00158;DB00175;DB00201;DB00213;DB00220;DB00242;DB00255;DB00285;DB00286;DB00317;DB00338;DB00391;DB00394;DB00396;DB00398;DB00437;DB00439;DB00444;DB00448;DB00457;DB00470;DB00481;DB00482;DB00495;DB00503;DB00515;DB00526;DB00530;DB00541;DB00544;DB00549;DB00563;DB00570;DB00602;DB00619;DB00624;DB00631;DB00642;DB00655;DB00669;DB00675;DB00688;DB00694;DB00698;DB00709;DB00740;DB00762;DB00773;DB00783;DB00795;DB00843;DB00845;DB00853;DB00921;DB00958;DB00966;DB00970;DB00973;DB00997;DB01016;DB01024;DB01030;DB01048;DB01051;DB01079;DB01094;DB01097;DB01098;DB01129;DB01167;DB01204;DB01232;DB01234;DB01238;DB01248;DB01254;DB01268;DB01645;DB01685;DB01708;DB02115;DB02703;DB03467;DB03496;DB04216;DB04348;DB04540;DB04690;DB04847;DB04851;DB04854;DB04868;DB04881;DB05239;DB05294;DB05467;DB05928;DB06210;DB06228;DB06234;DB06237;DB06288;DB06290;DB06374;DB06448;DB06589;DB06605;DB06636;DB06654;DB06772;DB06813;DB08828;DB08860;DB08864;DB08880;DB08881;DB08896;DB08901;DB08907;DB08912;DB08916;DB08930;DB08931;DB08934;DB09027;DB09038;DB09054;DB09061;DB09065;DB09073;DB09074;DB09078;DB09079;DB09102;DB09118;DB09183;DB09274;DB09279;DB09291;DB09296;DB09297;DB09299;DB09330;DB11363;DB11581;DB11613;DB11632;DB11633;DB11644;DB11652;DB11682;DB11689;DB11697;DB11712;DB11718;DB11732;DB11751;DB11755;DB11757;DB11760;DB11763;DB11791;DB11793;DB11796;DB11800;DB11817;DB11820;DB11827;DB11853;DB11855;DB11886;DB11901;DB11943;DB11952;DB11963;DB11967;DB11978;DB11995;DB12001;DB12010;DB12015;DB12020;DB12026;DB12070;DB12095;DB12141;DB12151;DB12218;DB12255;DB12267;DB12332;DB12411;DB12457;DB12483;DB12500;DB12548;DB12597;DB12612;DB12713;DB12874;DB12887;DB12941;DB12978;DB13055;DB13125;DB13874;DB13878;DB13879;DB13943;DB13944;DB13946;DB13952;DB13953;DB13954;DB13955;DB13956;DB13997;DB14009;DB14011;DB14086;DB14538;DB14539;DB14540;DB14541;DB14542;DB14543;DB14544;DB14649;DB14723;DB14737;DB14840;DB14962;DB15091;DB15097;DB15102;DB15133;DB15149;DB15233;DB15305;DB15328;DB15442;DB15456;DB15569;DB15685;DB15822;DB15982;DB16021;DB16098;DB16217;DB16267;DB16390;DB16407;DB16650;DB16703;DB16826;DB17083;DB17472	10113978;10127622;10182969;10184653;10257882;10288191;10311306;10339178;10348973;105111;107971;10959536;11001318;11167602;11256664;11304743;11478676;11511120;11525740;11610526;11625818;11671467;11711114;11753673;118023034;118513932;119182;119373;11947679;11949646;1203;121490161;123596;123631;124081896;126941;130564;134018;135449331;13791;14720269;148121;148124;148195;150311;160352;16078;16124688;16214875;16222096;16722836;16757572;16961;176870;176871;20279;20469;2094;2159;216239;21700;23634441;23642301;23663939;23663992;23667301;23725625;24360;24776445;24812758;24826799;24831714;24872560;24873435;24889392;24958200;24989044;25008120;25062766;25145656;25151504;25154713;25154714;25166913;25171648;25181577;2519;25227436;2543;2662;2733525;2733526;2794;3000226;30323;3033050;3062316;3081361;31703;3385;34180;3488;35370;36462;3883;3899;392622;406563;4212;42611257;439246;441243;441404;44148067;44205240;44462760;44516822;446157;446556;44814423;44819241;448537;45138674;452548;45375808;457193;4594;46188928;46199646;46208890;46215462;46216142;46216796;46220502;4679;468908;46927777;471161;483477;487101;4893;49803313;49806720;49846579;5029;5035;5070;50905713;50922675;51039094;51082;5280343;5280961;5281078;5282451;5282452;5282455;5284373;5287969;5288320;5291;52938427;5311037;5311454;53235510;53239799;5329102;5330286;5353980;5355;5358;5388983;5388992;5394;54674461;54684141;54687;54713659;54726191;54767916;54900;55283;5656;56640146;56649450;5702198;5717;5741;5743;5744;5757;58557659;5881;5978;5994;5997;6013;6037;60699;60700;60795;60825;60838;6241;62770;62923;64142;644019;644073;644241;6451164;6456015;65157;65999;6604200;66558664;66562429;67171867;67505836;67683363;68165256;6842999;68498031;68546;68748835;6917864;6918092;6918197;6918485;6918995;71492247;71496458;71576678;71587624;72165228;72281;74763937;74990;76966913;78357807;86291590;89683805;89921642;90480031;9403;9416;9574768;9809714;9809715;9812710;9823820;9854073;9869929;9875401;9910986;9911830;9918581;9931953;9931954;9963148
8	ABO	DB02196;DB03435;DB03501;DB03772;DB04141;DB04678;DB04679;DB04680;DB04681;DB07341;DB07357;DB07378;DB07633
9	ACAT2	DB01915;DB01992
